,tinh,huyen,xa,diaban,hoso,matv,age,male,married,yoeduc,income,sector
12293,34,339,12661,5,13,3,28,1,1,14,22943,StateRun
35347,93,936,31484,10,15,2,32,0,1,4,4643,FarmForestAqua
27122,75,731,26014,5,19,1,44,1,1,12,59172,Foreign
30571,82,821,28558,11,13,2,60,1,1,5,51767,Private
49,1,1,28,20,13,2,60,1,1,16,60913,StateRun
33907,91,902,30808,14,15,1,53,0,0,3,20634,StateRun
30240,82,815,28288,9,15,6,24,1,1,8,29459,Private
19893,51,535,21490,11,14,1,22,1,1,9,7316,FarmForestAqua
26525,74,718,25762,7,14,2,44,0,1,7,20912,Foreign
30056,80,807,28162,1,14,3,19,1,0,10,32207,HomeBusiness
20506,52,550,21979,8,14,1,44,0,0,6,15453,HomeBusiness
405,1,7,283,9,15,2,31,0,1,16,52326,Private
27850,77,747,26509,19,13,1,70,1,1,12,34242,Private
15926,40,427,17680,1,13,1,33,1,1,9,17132,HomeBusiness
30019,80,806,28135,8,15,2,35,0,1,8,23959,HomeBusiness
13366,36,360,13846,12,13,3,29,0,1,14,30729,StateRun
17601,46,474,19744,5,14,4,18,1,0,9,18564,HomeBusiness
290,1,6,190,39,19,3,25,1,1,16,93268,Private
24201,66,651,24401,3,15,5,25,1,0,4,12900,FarmForestAqua
10266,30,288,10522,11,13,2,43,1,1,9,17243,HomeBusiness
15103,38,404,16306,6,19,1,46,1,1,7,27717,HomeBusiness
35452,94,942,31570,5,14,3,19,1,0,5,8108,FarmForestAqua
21197,56,569,22417,15,13,1,32,1,1,16,61760,StateRun
379,1,7,268,16,13,2,33,1,1,14,61097,StateRun
24542,67,662,24640,3,15,2,31,1,1,16,29482,StateRun
35387,94,941,31501,6,13,4,19,1,0,10,16400,HomeBusiness
28677,79,765,26938,32,19,6,28,1,0,12,32728,Private
4876,14,116,3646,12,19,2,38,1,1,12,54209,StateRun
35738,94,947,31729,6,14,2,43,0,1,4,3009,StateRun
22023,58,589,22897,3,13,1,45,0,0,1,8402,FarmForestAqua
26635,74,721,25813,28,13,1,44,0,0,6,22593,Foreign
2200,4,40,1285,3,14,2,54,1,1,16,64186,StateRun
12895,35,351,13459,3,14,4,23,1,0,9,18696,HomeBusiness
28282,77,753,26692,35,14,4,18,1,0,4,13153,FarmForestAqua
68,1,1,34,25,14,1,34,1,1,16,57298,FarmForestAqua
33231,89,887,30385,19,14,2,25,0,1,3,7824,FarmForestAqua
20399,52,549,21910,37,15,3,23,0,0,12,24621,Private
18365,48,492,20233,21,19,1,43,1,1,12,33110,Private
22182,60,595,22969,10,13,5,32,1,1,9,36500,Private
17710,46,474,19792,18,14,1,55,1,1,16,30899,StateRun
28142,77,751,26632,4,15,1,27,1,1,14,24900,StateRun
9247,26,246,8794,9,14,1,41,1,1,2,14257,HomeBusiness
20448,52,549,21940,15,19,1,41,1,1,9,25911,StateRun
33298,89,888,30424,23,19,1,51,1,1,12,13612,StateRun
15028,38,402,16183,4,15,2,18,1,0,7,6045,HomeBusiness
20180,52,545,21730,15,15,1,54,0,1,12,15500,Collective
20950,54,564,22243,7,13,1,36,1,1,5,26000,HomeBusiness
17977,46,479,19987,6,13,1,35,1,1,8,30633,HomeBusiness
10326,30,290,10546,25,15,2,49,1,1,12,5795,StateRun
