,tinh,huyen,xa,diaban,hoso,matv,age,male,married,yoeduc,income,sector
8023,24,217,7384,1,13,2,36,0,1,12,22938,Private
31774,84,849,29473,13,15,1,46,1,1,6,17734,FarmForestAqua
10068,27,262,9409,1,13,1,41,1,1,4,13925,HomeBusiness
23594,64,634,24004,8,15,3,24,0,1,9,5879,FarmForestAqua
1855,2,29,892,5,19,2,32,1,1,9,24200,Private
20852,54,562,22264,20,14,1,50,1,1,2,22500,FarmForestAqua
26726,74,722,25870,52,15,1,57,1,1,10,27323,StateRun
31053,83,834,29020,11,13,3,23,0,0,12,10355,StateRun
26165,72,708,25585,14,20,1,47,1,0,5,19520,HomeBusiness
30857,83,831,28813,5,15,4,32,1,0,8,105168,Private
32283,86,862,29851,6,15,5,29,0,1,12,7061,StateRun
29113,79,775,27352,17,13,1,47,1,1,12,49480,HomeBusiness
29352,79,783,27523,2,13,2,39,0,1,12,22901,HomeBusiness
17791,46,476,19858,17,14,3,21,1,0,7,20337,HomeBusiness
25394,68,680,25084,24,15,3,26,0,0,12,21434,Foreign
12075,33,332,12382,9,15,2,31,0,1,5,7885,Private
32138,86,860,29740,1,14,7,27,0,1,12,72810,StateRun
28211,77,752,26665,6,13,4,19,1,0,12,18240,HomeBusiness
754,1,18,535,25,14,2,45,0,0,5,5423,HomeBusiness
27531,75,737,26272,43,13,1,40,1,1,6,57174,Foreign
34044,91,905,30893,2,13,2,31,0,1,5,11659,HomeBusiness
20458,52,549,21946,4,14,6,29,0,0,8,17692,Private
22366,60,597,23083,13,14,1,39,1,1,3,18000,FarmForestAqua
29358,79,783,27523,2,15,1,31,0,0,9,24636,Private
26756,74,722,25882,12,15,3,16,1,0,7,32071,FarmForestAqua
36129,95,957,31867,40,20,1,72,1,1,16,23985,HomeBusiness
18158,46,483,20170,1,15,2,40,0,1,5,17147,FarmForestAqua
32798,87,874,30151,27,14,3,41,0,1,0,10669,FarmForestAqua
987,1,268,9556,17,14,4,28,0,1,12,22574,StateRun
30882,83,831,28849,7,13,4,34,0,1,12,27633,StateRun
18745,49,503,20413,3,13,4,21,0,0,12,16686,Private
13162,36,356,13642,4,14,1,50,1,1,16,43354,StateRun
9180,26,244,8746,2,13,2,29,1,0,12,18150,Private
767,1,18,553,14,19,4,26,0,1,12,26260,StateRun
1555,1,281,10366,19,13,2,44,1,1,12,37798,StateRun
29026,79,773,27271,11,13,1,36,0,1,9,21815,HomeBusiness
35967,95,954,31816,26,15,2,44,1,0,14,29942,StateRun
29188,79,776,27415,7,15,2,38,1,1,16,83876,StateRun
35604,94,944,31609,6,14,4,24,1,0,6,16886,HomeBusiness
25381,68,680,25075,4,15,3,22,0,0,12,20085,Foreign
26673,74,721,25834,16,20,3,21,0,0,12,14850,Private
24605,67,662,24655,5,15,6,17,1,0,6,13985,FarmForestAqua
32368,87,866,29878,9,13,1,34,1,1,9,20939,Private
1029,1,269,9586,16,13,3,25,0,1,12,44502,StateRun
15567,40,420,17056,4,15,3,15,1,0,9,5524,HomeBusiness
25858,70,695,25390,5,14,2,47,0,1,12,33770,StateRun
31831,84,850,29524,3,15,2,22,1,0,5,14381,StateRun
19416,51,524,21049,10,14,3,19,0,0,9,5723,Private
33303,89,888,30433,4,14,4,14,1,0,3,16539,HomeBusiness
13546,36,363,14029,4,13,2,32,0,1,12,11072,Collective
27763,75,741,26446,29,14,4,16,0,0,10,1482,HomeBusiness
33569,89,892,30607,48,14,2,26,0,1,5,5564,HomeBusiness
282,1,6,187,10,15,1,38,1,1,16,65668,StateRun
13840,37,369,14335,16,14,1,54,0,1,12,46334,StateRun
18958,49,507,20596,6,15,2,42,0,1,4,17923,HomeBusiness
27423,75,735,26203,1,15,1,23,1,1,9,12047,FarmForestAqua
22973,62,615,23500,17,15,2,40,0,1,8,13146,FarmForestAqua
12528,34,342,13066,3,13,1,35,1,1,10,18797,FarmForestAqua
11316,31,312,11584,17,14,3,21,0,0,12,31577,Foreign
21229,56,569,22432,3,15,2,26,1,0,16,24308,StateRun
25745,70,693,25318,13,13,2,31,1,1,14,29339,StateRun
28341,77,754,26728,9,15,1,63,1,1,10,7720,StateRun
34451,92,916,31123,23,14,2,49,0,1,12,51355,StateRun
11300,31,311,11572,11,15,2,47,0,1,12,15002,HomeBusiness
19015,49,508,20629,10,14,1,46,0,0,0,25503,HomeBusiness
227,1,5,163,12,14,4,39,1,1,16,114193,Private
35812,94,950,31783,10,13,2,22,1,0,4,11783,Private
20783,54,560,22171,6,14,2,27,0,1,14,54766,StateRun
6,1,1,4,12,14,1,61,1,1,16,80887,StateRun
21049,56,568,22336,11,15,1,45,1,0,9,38012,Private
22797,62,610,23353,13,13,6,22,1,0,11,19979,Private
25637,70,691,25255,28,13,1,34,1,1,4,15926,Private
3113,8,73,2287,3,15,1,48,1,1,16,37981,StateRun
28366,79,760,26743,27,19,3,26,0,0,16,54342,Foreign
28717,79,766,26971,25,20,2,54,1,1,12,98159,StateRun
18564,48,494,20284,22,15,2,29,0,1,16,62435,StateRun
36772,96,969,32141,14,13,4,16,1,0,5,21067,FarmForestAqua
25497,70,688,25245,1,15,4,20,0,0,6,6081,Private
9159,26,243,8728,17,13,1,28,1,1,12,44947,Foreign
28490,79,763,26830,23,19,4,23,1,1,9,21820,HomeBusiness
31386,84,844,29266,4,13,2,34,1,1,0,6499,StateRun
31875,86,855,29560,6,13,2,21,1,1,12,16892,StateRun
21670,58,582,22759,2,14,2,46,1,1,12,56307,Collective
21566,56,574,22678,3,13,3,36,1,1,16,101834,Private
27226,75,731,26053,18,13,2,52,0,0,12,52838,StateRun
33773,89,894,30721,1,15,4,20,1,0,9,23479,FarmForestAqua
13710,36,365,14200,13,14,2,38,0,1,5,3990,HomeBusiness
18190,48,490,20197,3,13,4,25,0,1,9,12100,Foreign
8943,25,237,8494,3,13,1,54,1,1,9,3700,StateRun
29570,80,794,27697,16,14,1,77,1,1,1,1607,HomeBusiness
31329,83,838,28948,3,13,1,43,1,1,6,12916,Private
10051,27,261,9394,8,14,1,41,0,1,9,30232,Private
10460,30,292,10714,14,13,1,49,1,1,12,64381,StateRun
13130,35,353,13624,9,15,1,56,1,1,11,7348,StateRun
116,1,3,91,6,13,4,26,0,1,12,40171,StateRun
20916,54,563,22312,23,14,1,55,1,1,2,10800,HomeBusiness
5772,15,140,4684,1,20,1,33,1,1,2,13993,HomeBusiness
33968,91,903,30844,24,19,1,45,1,1,9,29804,Private
34272,91,908,31009,17,15,1,46,1,1,16,79170,StateRun
1023,1,268,9886,19,20,1,42,1,1,9,21676,HomeBusiness
4550,12,108,3478,8,20,1,35,1,1,9,18403,StateRun
1187,1,273,9826,3,13,3,29,1,1,12,19322,StateRun
1471,1,278,10174,6,20,3,24,1,0,12,47251,Private
29356,79,783,27523,2,14,1,35,0,1,6,23834,HomeBusiness
17183,45,461,19342,5,13,1,41,1,1,16,40917,StateRun
5297,14,125,4120,1,14,4,25,1,0,12,17951,StateRun
7134,20,186,6388,3,15,1,27,1,1,12,19470,StateRun
12426,34,341,12874,7,15,1,41,1,1,9,27267,Private
28391,79,761,26767,10,13,1,35,1,1,12,57453,Private
31096,83,835,29062,3,13,2,19,1,0,8,16508,FarmForestAqua
11392,31,313,11665,18,15,2,17,0,0,9,10092,Private
34449,92,916,31123,23,13,4,25,1,0,16,56597,StateRun
22050,58,589,22909,17,13,3,23,1,0,12,9262,Private
29184,79,776,27406,19,15,2,49,1,1,9,36564,Private
7785,22,205,7111,17,14,3,22,1,0,12,18500,Private
32817,87,874,30166,3,14,2,72,0,1,2,3775,FarmForestAqua
17663,46,474,19774,19,13,1,47,1,1,10,30592,HomeBusiness
32399,87,866,29893,23,15,2,27,0,1,8,13248,HomeBusiness
18712,49,502,20344,11,15,3,24,0,1,12,17176,Private
29970,80,805,28096,10,15,2,17,1,0,8,15968,Private
19727,51,532,21379,11,14,1,34,1,1,7,24303,Private
9901,27,259,9307,6,13,5,29,0,1,12,30413,Foreign
16404,42,443,18460,1,13,2,48,1,1,12,25890,Private
12178,34,338,12496,2,13,1,31,1,1,9,20426,HomeBusiness
30138,80,808,28216,3,15,3,31,0,1,9,35908,Private
32799,87,874,30151,27,14,2,44,1,1,3,7544,FarmForestAqua
12503,34,342,13015,5,15,2,31,0,1,12,12137,Collective
11622,33,325,11986,14,13,2,48,0,1,16,104835,StateRun
27833,75,742,26500,31,13,5,16,0,0,0,7415,FarmForestAqua
21319,56,571,22489,4,14,3,18,1,0,5,12703,HomeBusiness
700,1,17,484,11,13,2,39,0,1,9,16691,HomeBusiness
25998,72,703,25480,16,14,1,35,1,1,12,39533,StateRun
31714,84,848,29449,2,19,1,37,1,1,4,5911,FarmForestAqua
1319,1,276,9970,13,20,2,35,1,1,9,30154,HomeBusiness
17821,46,477,19867,4,15,3,20,1,0,7,7103,Private
35992,95,954,31825,1,15,2,27,1,1,7,15869,Private
29868,80,803,27991,7,15,1,56,0,0,5,15203,FarmForestAqua
35819,94,950,31783,10,14,3,26,0,1,4,2448,FarmForestAqua
32104,86,860,29725,3,14,5,22,0,0,12,8191,Foreign
20999,54,564,22279,29,14,5,22,0,1,9,5000,StateRun
35985,95,954,31825,1,13,2,35,1,1,9,29715,Private
33540,89,892,30595,6,13,4,30,0,1,5,8240,FarmForestAqua
17652,46,474,19768,11,13,2,42,1,1,9,31617,StateRun
21882,58,586,22867,18,15,2,32,0,1,5,7554,FarmForestAqua
28700,79,765,26953,42,15,2,47,1,0,7,31516,HomeBusiness
35654,94,946,31648,9,19,2,32,1,1,12,26047,StateRun
13851,37,369,14344,10,14,2,86,0,0,5,13949,Private
608,1,16,406,19,14,1,43,1,1,6,29791,HomeBusiness
20600,54,555,22048,6,13,2,45,1,1,7,20597,HomeBusiness
25379,68,680,25075,4,15,4,20,0,0,9,18582,HomeBusiness
11032,31,305,11380,13,20,2,38,1,1,16,67806,StateRun
259,1,6,178,8,13,2,76,0,1,5,18081,HomeBusiness
28104,77,750,26602,7,20,3,15,0,0,9,7000,FarmForestAqua
21036,56,568,22333,29,14,2,49,1,1,16,73254,Foreign
16733,44,450,18880,3,15,3,25,1,0,11,22852,HomeBusiness
9195,26,244,8752,11,14,4,27,0,1,16,32764,StateRun
35816,94,950,31783,10,14,5,32,1,1,0,20673,Private
28727,79,766,26977,5,19,2,50,1,0,9,21053,HomeBusiness
34471,92,916,31141,18,13,1,42,1,1,16,48534,StateRun
19134,49,513,20806,5,15,1,41,1,1,12,9344,HomeBusiness
27154,75,731,26023,4,15,2,42,0,1,9,31459,Foreign
36980,96,973,32242,21,14,3,20,1,0,8,7368,HomeBusiness
27342,75,734,26116,17,15,2,24,0,0,12,20050,StateRun
1633,1,282,10480,10,14,3,30,1,0,16,35633,StateRun
26054,72,705,25507,9,15,2,21,1,1,2,25002,FarmForestAqua
32043,86,859,29671,2,15,2,40,0,1,9,5406,FarmForestAqua
30914,83,832,28879,13,14,3,12,1,0,5,4767,HomeBusiness
27863,77,747,26515,6,19,1,37,1,1,16,33900,StateRun
3920,11,94,3133,15,15,1,33,0,1,14,42446,StateRun
27256,75,731,26377,3,13,3,32,1,0,5,18541,HomeBusiness
18033,46,480,20026,1,13,1,33,1,1,7,12250,HomeBusiness
389,1,7,268,16,15,1,46,0,1,12,39027,StateRun
27816,75,742,26479,42,13,1,25,0,0,12,39268,Foreign
28820,79,767,27040,18,13,2,50,1,1,9,32550,Private
15587,40,420,17092,3,15,2,40,0,1,6,5460,HomeBusiness
31534,84,846,29341,8,15,2,44,1,1,12,34270,StateRun
2168,4,40,1267,19,15,3,25,0,0,12,25157,Collective
21501,56,573,22624,2,13,1,40,1,1,9,8365,StateRun
15594,40,421,17104,20,13,1,49,1,1,7,34151,Private
14836,38,397,15742,1,14,1,50,1,1,9,8554,StateRun
27929,77,747,26533,25,13,3,24,0,0,16,60416,Private
20870,54,562,22273,11,14,2,28,1,0,14,32449,StateRun
19302,49,517,21001,14,13,1,63,1,1,5,19486,FarmForestAqua
27007,74,725,25984,16,15,3,19,0,0,11,63869,Foreign
891,1,20,658,4,14,1,51,1,1,8,27086,HomeBusiness
21370,56,572,22528,6,15,3,27,1,0,9,22297,HomeBusiness
902,1,20,667,13,14,3,21,0,0,12,28729,StateRun
19973,52,540,21565,22,15,2,32,1,1,4,20717,HomeBusiness
7456,22,195,6766,11,13,2,51,1,1,9,60679,StateRun
26993,74,725,25978,8,19,1,40,0,1,4,30702,Private
29426,79,784,27574,3,19,3,25,1,0,11,26667,HomeBusiness
3651,10,85,2839,3,15,2,41,0,1,12,37652,StateRun
13295,36,359,13774,10,14,3,17,0,0,9,9205,Private
18493,48,493,20269,10,19,1,27,1,1,6,23500,Private
26713,74,722,25858,17,15,1,31,1,1,16,71128,StateRun
8511,24,223,7873,3,15,4,23,1,0,12,10903,HomeBusiness
29305,79,778,27475,36,19,3,29,0,1,12,25858,Private
31970,86,857,29611,22,13,3,31,0,1,16,28314,StateRun
12507,34,342,13030,3,19,1,58,1,1,9,13682,HomeBusiness
10799,30,298,11146,16,14,3,19,0,0,9,16781,Private
19695,51,530,21340,6,15,3,25,0,1,12,21826,StateRun
26973,74,725,25969,50,14,1,27,0,0,11,25936,Private
13681,36,365,14173,5,14,1,31,0,1,7,15151,HomeBusiness
12814,35,350,13390,1,13,3,19,0,0,9,19013,Private
1309,1,276,9970,13,13,4,16,1,0,9,22574,HomeBusiness
25020,68,673,24817,7,13,1,32,1,1,9,26551,HomeBusiness
10875,30,300,11260,6,14,3,16,1,0,8,15976,HomeBusiness
8574,25,227,7918,2,20,2,45,0,1,12,13228,Foreign
30174,82,815,28255,9,13,2,40,0,1,12,7128,HomeBusiness
13154,36,356,13642,4,13,2,48,1,1,16,67091,StateRun
31056,83,834,29020,11,15,1,46,0,1,3,17974,HomeBusiness
32061,86,859,29686,4,14,2,47,0,0,2,3893,FarmForestAqua
17026,44,455,19189,6,14,1,33,1,1,5,73985,Private
1382,1,277,10063,3,13,1,45,1,1,5,21751,Private
7583,22,198,6844,4,14,1,38,1,1,9,12160,HomeBusiness
17355,45,466,19496,4,13,1,65,1,0,9,23904,HomeBusiness
26802,74,723,25915,6,14,6,26,0,1,14,48011,Foreign
14761,38,396,15622,7,14,1,46,1,1,12,29634,StateRun
36584,96,967,32065,9,13,6,22,0,1,12,10250,StateRun
5654,15,138,4498,10,13,3,29,0,1,12,24592,StateRun
23792,66,643,24148,16,14,1,50,1,1,12,30000,StateRun
31184,83,836,29149,18,13,1,39,1,1,11,39124,HomeBusiness
29080,79,774,27316,18,20,2,35,0,1,6,41403,Private
33195,89,886,30367,11,14,1,34,1,1,0,12217,FarmForestAqua
622,1,16,418,21,14,1,24,1,1,12,11122,Foreign
1478,1,279,10195,4,15,2,35,0,1,9,3071,HomeBusiness
8077,24,217,7432,6,15,3,30,1,1,9,27165,HomeBusiness
31812,84,849,29503,12,15,3,40,1,1,0,25650,HomeBusiness
11749,33,327,12067,8,14,5,21,0,1,12,21067,Private
18245,48,491,20209,16,13,2,49,0,1,12,50400,StateRun
25569,70,690,25336,11,14,1,54,0,1,12,28954,FarmForestAqua
456,1,8,307,54,15,2,57,1,1,16,117996,StateRun
11725,33,327,12052,22,14,4,20,0,0,12,19064,Private
20509,52,550,21979,8,15,2,16,1,0,10,5895,HomeBusiness
8921,25,236,8461,3,15,1,42,1,1,9,40040,HomeBusiness
27176,75,731,26029,19,15,1,63,0,0,11,32931,Private
33546,89,892,30595,6,19,1,33,1,1,0,22231,FarmForestAqua
20819,54,561,22222,1,13,3,19,1,0,6,9000,FarmForestAqua
9538,26,252,9076,5,13,2,25,0,1,12,9512,StateRun
26546,74,718,25771,16,14,2,44,1,1,9,26376,HomeBusiness
16242,42,439,18184,5,13,3,22,0,0,12,16786,Foreign
21010,54,564,22297,9,13,5,18,1,0,9,14700,HomeBusiness
17264,45,464,19408,7,14,4,22,0,0,12,21518,Private
320,1,6,211,19,20,4,26,0,1,16,41669,StateRun
14,1,1,7,22,13,2,53,0,1,16,86629,StateRun
23501,64,632,23905,5,14,3,23,1,0,9,21257,HomeBusiness
23131,64,622,23566,1,15,4,30,0,1,12,23108,HomeBusiness
35605,94,944,31609,6,14,1,49,1,1,3,16886,HomeBusiness
36851,96,970,32176,3,13,4,33,1,1,12,32171,Private
19306,49,517,21001,14,15,3,24,1,0,12,28512,Private
19962,52,540,21559,35,14,2,45,0,1,9,24155,Private
1024,1,268,9886,19,20,2,39,0,1,12,14089,HomeBusiness
20484,52,550,21967,9,15,4,31,0,1,12,5265,StateRun
1773,2,27,817,2,14,5,26,0,1,12,14520,StateRun
34290,91,909,31024,8,15,1,52,1,1,2,9831,FarmForestAqua
25723,70,692,25294,4,19,1,44,1,1,7,9455,HomeBusiness
11128,31,307,11429,8,15,2,52,1,1,9,1990,StateRun
6461,19,167,5536,16,13,1,48,1,1,12,19728,Private
30090,80,807,28174,5,15,1,52,1,1,5,35563,FarmForestAqua
27867,77,747,26515,6,20,1,50,1,1,12,172999,StateRun
21567,56,574,22678,3,13,4,33,0,1,16,57350,Private
34863,92,926,31309,26,14,4,17,1,0,9,12375,HomeBusiness
15622,40,421,17158,4,13,2,26,1,0,9,27115,FarmForestAqua
21097,56,568,22363,5,14,2,39,1,1,12,77257,Private
329,1,6,217,31,14,2,49,0,1,16,113243,StateRun
29907,80,803,28033,7,13,2,38,1,1,9,9882,HomeBusiness
33218,89,887,30376,58,14,2,39,0,1,1,24792,FarmForestAqua
13579,36,363,14053,6,15,1,46,1,1,9,21773,HomeBusiness
26132,72,707,25567,5,19,1,32,1,1,5,37792,FarmForestAqua
319,1,6,211,19,20,3,31,1,1,16,67086,StateRun
12402,34,341,12850,7,13,1,52,1,1,9,38926,Private
296,1,6,190,39,20,1,52,1,1,16,120887,StateRun
17902,46,478,19942,14,14,4,23,1,1,12,30593,HomeBusiness
27859,77,747,26515,6,14,2,40,0,1,16,46326,StateRun
26964,74,725,25966,65,14,2,35,1,1,14,45739,Private
6724,19,171,5842,15,13,4,19,1,0,11,24656,HomeBusiness
10764,30,298,11113,18,13,1,41,1,1,9,15206,HomeBusiness
20188,52,545,21739,17,15,2,49,0,1,16,42860,StateRun
21343,56,571,22507,5,19,2,40,0,1,0,16388,HomeBusiness
10249,30,288,10513,32,13,4,27,0,1,12,31936,StateRun
10546,30,294,10813,15,13,3,20,1,0,12,10539,Private
7121,20,185,6367,7,15,5,30,0,1,12,23283,StateRun
10895,30,300,11269,13,15,1,28,1,1,8,27210,HomeBusiness
34556,92,917,31157,27,15,5,20,1,0,2,38000,Private
30201,82,815,28279,3,13,1,58,0,0,12,13367,StateRun
15898,40,426,17608,1,14,3,24,0,0,12,1381,StateRun
20421,52,549,21925,5,14,7,22,0,0,16,7864,Private
35674,94,947,31684,5,15,1,44,1,1,5,21753,HomeBusiness
28103,77,750,26602,7,20,2,23,1,0,4,32500,Private
2926,6,65,2098,4,14,2,28,0,1,7,6699,FarmForestAqua
15349,40,413,16732,3,15,1,44,1,1,9,14924,StateRun
11963,33,331,12280,7,14,5,25,0,0,12,21370,Private
16268,42,439,18211,16,14,1,34,1,1,9,10343,Private
19771,51,533,21409,17,15,4,24,1,0,9,27784,HomeBusiness
8600,25,227,8515,2,14,2,30,0,1,6,24172,Foreign
33587,89,892,30616,13,15,2,26,1,0,7,11330,FarmForestAqua
36289,95,959,31960,19,15,2,42,1,1,4,4926,FarmForestAqua
9340,26,247,8893,14,15,4,17,1,0,8,29191,HomeBusiness
25971,72,703,25465,30,13,2,27,1,1,5,24668,HomeBusiness
13309,36,360,13795,13,13,1,50,1,1,9,13189,StateRun
5457,15,132,4267,18,13,4,27,1,0,12,22195,HomeBusiness
17976,46,479,19987,6,13,2,29,0,1,4,11691,Private
22776,62,608,23326,14,13,2,31,0,1,3,19978,FarmForestAqua
9466,26,251,9025,2,15,5,18,1,0,11,8082,HomeBusiness
5490,15,133,4297,5,19,2,39,0,1,12,36345,StateRun
712,1,17,493,32,13,2,27,1,1,16,51595,StateRun
9053,25,239,8662,10,14,1,51,1,1,7,12600,HomeBusiness
1561,1,281,10366,19,15,3,18,1,0,9,27504,HomeBusiness
10858,30,300,11248,13,13,1,36,1,1,7,21303,HomeBusiness
27781,75,741,26449,43,15,2,31,0,1,14,32222,StateRun
7475,22,195,6769,10,20,1,45,1,1,12,72600,StateRun
17988,46,480,19996,5,13,2,28,1,0,12,22560,Private
17676,46,474,19774,19,15,2,30,0,0,10,13039,StateRun
33667,89,893,30658,39,13,1,26,1,1,2,30423,HomeBusiness
616,1,16,406,19,15,4,20,0,1,4,23845,Foreign
23105,64,622,23557,22,13,1,51,1,1,16,48127,StateRun
18479,48,493,20266,2,15,1,40,1,1,6,30500,HomeBusiness
33290,89,888,30424,23,15,1,36,1,1,12,14804,StateRun
11501,31,316,11836,10,14,2,26,0,1,9,6315,Private
6341,19,164,5440,16,13,1,42,0,1,12,17462,StateRun
27965,77,747,26542,22,13,2,45,0,1,9,28761,Private
22334,60,597,23062,6,14,5,22,0,1,9,12000,Private
462,1,8,313,37,13,2,31,0,1,16,61841,Foreign
28436,79,762,26797,82,15,1,27,1,1,12,49618,Private
21560,56,574,22666,1,15,2,39,0,1,0,12707,FarmForestAqua
2534,4,52,1726,6,13,3,25,0,1,14,30465,StateRun
349,1,6,232,17,14,1,46,1,1,9,53297,Private
857,1,19,628,19,15,6,25,0,0,14,32127,Private
32284,86,862,29854,23,13,2,33,1,1,4,6201,FarmForestAqua
4121,11,99,3253,2,13,3,28,1,0,16,20448,StateRun
11618,33,323,11980,9,20,3,19,1,0,12,12531,Private
15280,40,412,16663,2,14,1,48,1,1,12,42100,StateRun
36588,96,967,32065,9,13,3,22,1,1,12,38145,StateRun
871,1,20,640,30,20,2,39,1,1,16,77734,StateRun
9899,27,259,9298,5,15,2,35,1,1,0,12597,HomeBusiness
28765,79,767,27013,17,19,2,37,0,1,16,135085,Private
33746,89,894,30700,16,19,5,20,0,0,9,29104,Private
2081,2,34,1171,2,14,3,18,1,0,6,17000,Private
26154,72,707,25582,11,14,3,21,1,1,6,17766,Private
5296,14,125,4120,1,14,1,50,1,1,12,14688,StateRun
6437,19,165,5512,12,14,5,23,1,0,12,105510,StateRun
15558,40,420,17056,4,13,1,51,1,1,16,55765,StateRun
12199,34,338,12520,11,13,2,26,0,1,12,17098,HomeBusiness
22318,60,597,23059,16,14,1,54,1,1,16,65700,StateRun
30043,80,806,28150,9,14,2,41,1,1,9,13295,HomeBusiness
299,1,6,199,6,14,1,25,1,0,12,17125,FarmForestAqua
13872,37,370,14368,11,13,1,52,1,1,9,20886,FarmForestAqua
34196,91,907,30967,5,15,4,21,1,0,6,6920,FarmForestAqua
29965,80,805,28096,10,14,3,22,1,0,12,19573,StateRun
14107,37,375,14593,8,15,2,36,0,1,9,1898,Private
5695,15,138,4576,5,14,1,32,1,1,16,25718,StateRun
10053,27,261,9394,8,14,2,45,1,1,12,27044,Private
450,1,8,307,54,14,2,45,1,1,18,442516,Foreign
36199,95,958,31900,21,15,2,28,0,0,12,40998,Private
27888,77,747,26521,17,15,1,44,0,0,16,47400,StateRun
27602,75,738,26326,9,14,1,31,1,1,12,53764,HomeBusiness
12067,33,332,12382,9,13,4,29,1,1,9,28108,Private
14483,38,389,15073,1,19,1,33,1,1,0,10094,FarmForestAqua
20707,54,559,22120,14,13,4,19,1,0,11,1176,HomeBusiness
22793,62,610,23353,13,13,4,27,1,0,10,19979,Private
17855,46,477,19897,1,13,1,42,1,1,8,11635,HomeBusiness
8718,25,232,8156,4,15,2,43,0,1,12,19930,Foreign
17843,46,477,19888,12,13,1,53,1,1,11,6185,Private
933,1,250,8998,4,13,3,29,0,0,12,15626,StateRun
29252,79,777,27442,30,15,1,36,1,1,4,47273,HomeBusiness
28532,79,764,26872,11,14,1,52,1,1,8,21211,Private
29510,79,785,27634,4,15,1,42,0,1,3,43945,HomeBusiness
11363,31,312,11626,6,15,3,25,0,0,12,14068,Private
19117,49,513,20791,22,15,1,66,1,1,5,14774,Private
30741,82,824,28711,19,19,1,48,1,1,6,7920,FarmForestAqua
9606,26,252,9139,3,13,1,32,1,1,5,22000,HomeBusiness
30222,82,815,28282,11,15,2,34,1,1,12,88795,Private
26829,74,723,25921,11,19,1,18,0,0,8,33209,Foreign
30045,80,806,28150,9,14,4,16,0,0,10,1424,HomeBusiness
21447,56,572,22573,3,15,2,36,0,1,0,11757,HomeBusiness
9186,26,244,8746,2,19,3,30,0,1,18,30708,StateRun
29355,79,783,27523,2,14,2,36,1,1,3,23834,HomeBusiness
26306,72,710,25660,31,15,2,29,1,1,0,13286,FarmForestAqua
23320,64,626,23707,15,13,1,40,1,1,0,19119,FarmForestAqua
16985,44,455,19156,21,14,1,44,0,1,12,24975,Private
31882,86,855,29560,6,15,2,31,0,1,14,59096,Private
13359,36,360,13834,12,15,1,51,1,1,12,15164,StateRun
448,1,8,307,54,14,1,43,0,1,23,149409,StateRun
30440,82,820,28444,19,14,1,49,1,1,2,24747,HomeBusiness
6420,19,164,5494,10,14,1,34,1,1,16,38221,StateRun
9686,26,253,8824,7,15,1,44,1,1,12,6364,StateRun
2257,4,43,1321,1,14,2,40,1,1,12,115411,StateRun
9622,26,252,9151,2,15,5,22,1,1,9,17107,HomeBusiness
19685,51,530,21340,6,13,1,45,1,1,12,19698,StateRun
35104,93,933,31384,17,13,1,55,1,1,8,10097,StateRun
13279,36,359,13756,5,14,3,40,1,1,12,10537,HomeBusiness
25742,70,693,25312,3,15,2,34,1,1,6,23164,HomeBusiness
28682,79,765,26947,20,14,2,48,0,1,14,56712,Foreign
23044,62,616,23534,7,13,2,39,1,1,0,6844,FarmForestAqua
27003,74,725,25981,9,15,1,35,0,0,8,26156,HomeBusiness
34619,92,918,31180,31,14,2,29,1,1,11,19600,Private
34374,91,913,31012,2,13,3,16,1,0,4,7782,FarmForestAqua
10960,31,304,11329,13,15,2,43,0,1,9,13296,HomeBusiness
9809,27,258,9208,9,14,5,20,0,1,12,24443,Foreign
12941,35,351,13489,14,14,1,52,1,0,9,5472,Collective
10621,30,295,10909,11,20,1,28,1,1,9,22021,HomeBusiness
29374,79,783,27544,9,13,3,19,1,0,4,33622,HomeBusiness
33518,89,891,30574,6,13,3,27,1,0,16,30894,StateRun
33037,89,883,30286,1,15,1,31,0,0,10,11229,Collective
16171,42,436,18077,6,15,1,51,0,0,14,45519,StateRun
10176,27,263,9478,8,15,1,54,0,0,5,10641,HomeBusiness
32004,86,858,29629,10,13,4,32,1,1,16,23014,StateRun
1349,1,277,10018,16,15,2,44,1,1,12,53168,StateRun
27653,75,739,26362,3,14,2,49,0,1,9,26032,FarmForestAqua
26397,72,712,25717,7,13,2,29,1,0,8,32803,HomeBusiness
10533,30,293,10795,2,15,4,24,1,0,12,46760,Private
36043,95,956,31849,20,14,1,28,1,1,4,9854,Private
26690,74,721,25846,23,19,3,22,1,0,12,19157,Private
23537,64,633,23941,21,14,1,34,1,1,12,20951,StateRun
23159,64,622,23579,2,13,4,28,0,0,9,17766,Private
21080,56,568,22351,1,15,3,40,1,1,10,27125,HomeBusiness
27605,75,738,26326,9,14,2,30,0,1,12,14791,Foreign
21717,58,582,22777,20,13,4,31,0,1,12,7145,StateRun
1273,1,275,9910,3,20,4,25,0,1,12,18612,Private
19472,51,525,21130,10,13,1,52,1,1,10,33571,Private
31937,86,857,29593,1,14,1,46,1,0,5,22672,HomeBusiness
2589,6,58,1834,4,13,1,35,1,1,16,40921,StateRun
20422,52,549,21925,5,14,4,27,1,1,16,53081,Private
365,1,7,244,31,15,3,32,1,1,11,21671,HomeBusiness
33745,89,894,30700,16,19,4,23,1,0,9,34462,Private
27391,75,734,26161,6,15,2,43,0,1,4,5928,FarmForestAqua
29631,80,797,27760,2,19,2,28,1,1,4,28500,FarmForestAqua
